ID,adj_word_cloud_dd,adj_word_cloud_ndtv,adj_word_cloud_tn
0,"{'central': 2, 'national': 1, 'bjp': 1, 'prime': 1, 'senior': 1, 'meet': 1, 'ninth': 2, 'parliamentary': 1, 'fourth': 1}","{'lok': 2, 'slogan': 3, 'true': 2, 'mayawati': 1, 'main': 1, 'trenchant': 1, 'minimum': 1, 'nyay': 1, 'chief': 3, 'bjp': 2, 'poor': 1, 'first': 1, 'nyuntam': 1, 'le': 1, 'described': 1, 'firmed': 1, 'prime': 1, 'last': 2, 'seat': 2, 'sharper': 1, 'rival': 1, 'january': 1, 'national': 1, 'raebareli': 2, 'congress': 1, 'welcome': 1, 'live': 1, 'update': 2, 'u': 2, 'parliamentary': 1}","{'representational': 1, 'new': 8, 'protest': 1, 'lok': 2, 'bharatiya': 1, 'delhi': 5, 'fresh': 2, 'probable': 2, 'general': 3, 'pti': 1, 'monday': 1, 'friday': 1, 'name': 1, 'sabha': 2, 'national': 3, 'possible': 1, 'several': 1, 'bjp': 1, 'dedicated': 1, 'miffed': 1, 'central': 3, 'candidate': 1, 'want': 1, 'key': 1, 'proactive': 1, 'functionary': 1, 'nirmala': 1, 'due': 1, 'next': 1}"
1,"{'encounter': 2, 'sukma': 2, 'general': 1, 'elite': 1, 'karkanguda': 1, 'gunbattle': 1, 'sabha': 1}","{'commando': 2, 'chhattisgarhs': 1, 'maoist': 1, 'special': 1, 'central': 1, 'early': 1, 'uniform': 1, 'crpf': 1, 'tactic': 1, 'deep': 1, 'live': 1, 'update': 2, 'u': 2, 'parliamentary': 1, 'lok': 1}","{'chhattisgarh': 1, 'sukma': 1, 'maoist': 1, 'tuesday': 1, 'gun': 1, 'special': 2, 'central': 2, 'commando': 1, 'uniform': 1, 'crpf': 1, 'tactic': 1, 'deep': 1}"
2,"{'last': 2, 'nomination': 1, 'second': 6, 'tuesday': 1, 'sabha': 4, 'poll': 2, 'parliamentary': 1, 'take': 2, 'maharashtra': 1, 'uttar': 1, 'pradesh': 1, 'west': 1, 'wednesday': 1, 'phase': 1, 'lok': 1, 'first': 1, 'monday': 1}","{'last': 3, 'second': 3, 'representational': 1, 'grand': 1, 'name': 1, 'purnea': 1, 'ninth': 1, 'lok': 2, 'kishanganj': 1, 'tariq': 1, 'uday': 2, 'pti': 1, 'narayan': 1, 'shailesh': 1, 'mp': 1, 'rjd': 1, 'bihar': 1, 'katihar': 1, 'ncp': 1, 'congress': 2, 'mla': 1, 'sabha': 2, 'lalu': 2, 'upendra': 1, 'mukesh': 2, 'live': 1, 'update': 2, 'u': 2, 'parliamentary': 1}","{'lok': 3, 'farooq': 1, 'sabha': 4, 'srinagar': 1, 'national': 1, 'nc': 3, 'nomination': 4, 'prestigious': 1, 'poll': 1, 'second': 3, 'general': 1, 'deputy': 1, 'entire': 1, 'untoward': 1, 'guideline': 1, 'maximum': 2, 'ganderbal': 1, 'last': 2, 'scrutiny': 1}"
3,"{'saxena': 2, 'delhi': 2, 'useful': 2, 'rajeev': 1, 'middleman': 1, 'special': 3, 'kumar': 1, 'bail': 1, 'medical': 1, 'dubaibased': 1, 'uhy': 1}","{'bail': 2, 'medical': 2, 'rajeev': 2, 'middleman': 1, 'special': 2, 'delhi': 1, 'useful': 1, 'dubaibased': 1, 'uhy': 1, 'saxena': 1, 'live': 1, 'update': 2, 'u': 2, 'parliamentary': 1, 'lok': 1}","{'representative': 1, 'new': 1, 'big': 1, 'special': 3, 'rajiv': 1, 'minimal': 1, 'key': 1, 'unraveling': 1, 'vvip': 2, 'pardon': 1, 'enforcement': 2, 'saxenas': 1, 'saxena': 4, 'important': 1, 'united': 1, 'uae': 1, 'january': 1, 'last': 1, 'bail': 2, 'medical': 1, 'ed': 1, 'global': 1, 'several': 1, 'political': 1, 'iaf': 1, 'favour': 1}"
4,"{'hard': 1, 'electoral': 1, 'congress': 1, 'name': 1, 'poverty': 1, 'nda': 1, 'pmkisan': 1, 'cong': 1, 'cheated': 1}","{'minimum': 4, 'scheme': 3, 'r': 1, 'national': 1, 'rahul': 3, 'historic': 1, 'final': 1, 'nyuntam': 2, 'nyay': 4, 'recent': 2, 'congress': 4, 'le': 1, 'mean': 1, 'possible': 1, 'fourfive': 2, 'powerful': 1, 'dynamic': 1, 'wellthoughtthrough': 1, 'first': 1, 'cwc': 1, 'finalise': 1, 'manifesto': 1, 'surprised': 1, 'universal': 1, 'basic': 1, 'ubi': 1, 'flat': 1, 'social': 1, 'political': 1, 'prime': 2, 'modis': 2, 'pm': 1, 'kisan': 1, 'small': 1, 'marginal': 1, 'live': 1, 'update': 2, 'u': 2, 'parliamentary': 1, 'lok': 1}","{'new': 2, 'congress': 5, '’': 3, 'minimum': 1, 'basic': 2, 'poor': 13, 'prime': 3, 'narendra': 1, 'much': 3, 'false': 1, 'modi': 4, '“': 1, 'last': 3, 'legacy': 1, 'necessary': 1, 'slogan': 5, 'crucial': 1, 'lok': 1, 'minumum': 1, 'final': 1, 'political': 2, 'many': 2, 'little': 1, 'resource': 1, 'nehruvian': 1, 'regulate': 1, 'erroneous': 1, 'large': 3, 'economic': 1, 'unleashed': 1, 'undo': 1, 'legendary': 2, 'historic': 1, 'shri': 1, 'gandhi': 1, 'caught': 1, 'significant': 2, 'major': 1, 'poverty': 1, 'right': 2, 'delhi': 1, 'cag': 1, 'rural': 1, '‘': 1, 'subject': 1, 'upa': 1, 'general': 1, 'particular': 1, 'ruled': 1, 'detail': 1, 'fiscal': 1, 'pradesh': 2, 'unfulfilled': 1, 'spent': 1, 'mnrega': 1, 'rs12000': 1, 'salary': 1, 'seventh': 1, 'small': 2, 'marginal': 2, 'msp': 1, 'slow': 1, 'kisan': 1, 'make': 1, 'direct': 1, 'supreme': 1, 'dbt': 1, 'simple': 2, 'seek': 1, 'several': 2, 'scheme': 1, 'social': 1, 'le': 1}"
5,"{'high': 1, 'wilful': 1, 'general': 1, 'vadras': 2, 'maintainable': 1, 'probe': 1, 'separate': 1, 'similar': 1, 'close': 1}","{'high': 2, 'wilful': 1, 'general': 1, 'mr': 2, 'maintainable': 1, 'probe': 1, 'separate': 1, 'similar': 1, 'close': 1, 'senior': 1, 'various': 1, 'unconstitutional': 1, 'live': 1, 'update': 2, 'u': 2, 'parliamentary': 1, 'lok': 1}","{'gandhi': 1, 'new': 1, 'delhi': 1, 'high': 1, 'wilful': 1, 'general': 1, 'vadras': 2, 'maintainable': 1, 'probe': 1, 'separate': 1, 'similar': 1, 'close': 1, 'vadra': 1, 'senior': 1, 'various': 1, 'unconstitutional': 1}"
6,"{'pakistan': 5, 'girl': 1, 'external': 5, 'chaudhary': 1, 'high': 1, 'send': 1, 'eve': 2, 'sindh': 1, 'massive': 1, 'stern': 1, 'pak': 1, 'prime': 2, 'religious': 2, 'chaudhry': 1, 'chaudhrys': 1, 'tweet': 1, 'hindu': 2, 'nervous': 1, 'nervousness': 1, 'guilty': 1}","{'clear': 2, 'representational': 1, 'fresh': 2, 'pakistan': 2, 'uproar': 1, 'girl': 6, 'sindh': 4, 'viral': 2, 'social': 1, 'hindu': 2, 'ssp': 1, 'hassan': 1, 'niazi': 1, 'mr': 3, 'fir': 1, 'criminal': 1, 'lal': 2, 'nationwide': 2, 'video': 1, 'nikah': 1, 'external': 1, 'underage': 1, 'sunday': 1, 'm': 1, 'prime': 1, 'provincial': 1, 'high': 1, 'due': 1, 'probe': 1, 'lakh': 1, 'live': 2, 'update': 2, 'u': 2, 'parliamentary': 1, 'lok': 1}","{'representational': 1, 'hindu': 3, 'minor': 1, 'girl': 1, 'punjab': 1, 'ghotki': 1, 'festival': 1, 'solemnising': 1, 'khanpur': 1, 'pakistan': 4, 'prime': 1, 'geo': 1, 'national': 3, 'next': 1, 'sunday': 1, 'external': 1, 'medium': 2, 'high': 1, 'verbal': 1, 'massive': 1, 'stern': 1, 'responsible': 1, 'last': 1, 'uplift': 1, 'several': 1, 'religious': 1, 'effective': 1, 'umerkot': 1}"
7,"{'fresh': 1, 'current': 3, 'dynastic': 1, 'major': 2, 'charismatic': 1, 'popular': 2}","{'diary': 3, 'falsehood': 1, 'politician': 1, 'friday': 1, 'lokpal': 1, 'provided': 1, 'bsys': 1, 'ride': 1, 'new': 1, 'low': 1, 'daily': 1, 'distract': 1, 'sam': 1, 'ready': 1, 'pitroda': 1, 'chief': 1, 'last': 1, 'live': 1, 'update': 2, 'u': 2, 'parliamentary': 1, 'lok': 1}","{'jaitley': 1, 'new': 3, 'low': 2, '“': 3, 'diary': 4, 'pm': 1, 'narendra': 1, 'gadkari': 1, 'medium': 1, 'central': 1, 'direct': 1, 'loose': 2, 'congress': 4, 'doubtful': 1, 'conservative': 1, 'verified': 1, 'norm': 1, 'social': 1, 'political': 1, 'public': 1, 'file': 1, 'probed': 1, 'document': 1, 'handwritten': 1, 'spokesperson': 2, 'yeddyurappa': 1, 'lokpal': 1, 'ghose': 1, '’': 1, 'father': 1, 'grand': 1, 'old': 1, 'sabha': 1, 'thief': 1, 'r': 1, 'lakh': 1, 'rafale': 1}"
8,"{'political': 1, 'continue': 1, 'upcoming': 2, 'lok': 2, 'naik': 1, 'pradesh': 1, 'singh': 1, 'rakesh': 1, 'suresh': 1, 'nishikant': 1, 'senior': 1, 'muniswamy': 1, 'kolar': 1, 'mandya': 1, 'uma': 2}","{'lok': 4, 'sabha': 6, 'bihar': 1, 'grand': 1, 'rjd': 5, 'congress': 3, 'second': 3, 'nominee': 1, 'last': 1, 'narayan': 1, 'shailesh': 1, 'mp': 1, 'mr': 1, 'late': 2, 'present': 1, 'central': 1, 'new': 1, 'lalu': 2, 'upendra': 1, 'mukesh': 2, 'live': 1, 'update': 2, 'u': 2, 'parliamentary': 1}","{'pradesh': 4, 'new': 1, 'late': 1, 'odisha': 1, 'third': 3, 'upcoming': 2, 'lok': 3, 'national': 2, 'patra': 2, 'sabha': 3, 'maharashtra': 3, 'girish': 3, 'meghalaya': 1, 'second': 1, 'poll': 1, 'lalubhai': 1, 'parliamentary': 1, 'central': 1, 'prime': 3, 'first': 1, 'gadkari': 1, 'irani': 1, 'varanasi': 1, 'bjp': 1, 'name': 1, 'democratic': 1, 'nominated': 1, 'huge': 1, 'win': 1}"
9,"{'sunday': 1, 'poonch': 1, 'ceasefire': 1, 'shahpur': 1}","{'pakistan': 2, 'firing': 1, 'late': 1, 'till': 1, 'sunday': 1, 'thursday': 1, 'rifleman': 1, 'ceasefire': 1, 'february': 2, 'last': 1, 'violate': 1, 'flag': 1, 'live': 1, 'update': 2, 'u': 2, 'parliamentary': 1, 'lok': 1}","{'representational': 1, 'poonch': 1, 'sunday': 1, 'unprovoked': 2, 'pakistan': 3, 'last': 1, 'pictwittercomq4q2dl189n': 1, 'february': 1, 'civilian': 2, 'several': 1, 'loc': 1, 'twin': 1, 'pakistani': 1}"
