ID_1,attn_dict_common
0,"{'bjp': [0.114863887, 0.061622392000000005, 0.896599472]}"
1,"{'sukma': [0.158604801, 0.386931032, 0.152398303], 'rifle': [0.43261495200000005, 0.49709186, 0.487950683], 'four': [0.025523392000000002, 0.102399558, 0.024813866], 'insas': [0.016134197, 0.050385772999999995, 0.10037034], 'cobra': [0.328460246, 0.164412379, 0.106582955], '303': [0.13317462800000002, 0.20637802800000002, 0.266114026], 'commando': [0.49720877399999996, 0.315029591, 0.145171627]}"
2,"{'phase': [0.190437078, 0.189974368, 0.133790404], 'filing': [0.09882426300000001, 0.054226040999999996, 0.156645209], 'lok': [0.471058607, 0.47712308200000003, 0.915262818]}"
3,"{'saxena': [0.135996565, 0.225287035, 0.19902946100000002], 'approver': [0.24466548899999999, 0.35525772, 0.8163686990000001], 'turn': [0.053269032, 0.23876372, 0.26731813], 'allowed': [0.137075633, 0.20329074600000002, 0.535219133], 'agustawestland': [0.018915111000000002, 0.020980653999999998, 0.358233184], 'court': [0.269417554, 0.088059396, 0.232329175], 'middleman': [0.12031626699999999, 0.35030853700000003, 0.0], 'case': [0.043840162, 0.15369571699999998, 0.23327122600000003], 'ed': [0.332501143, 0.14763236, 0.246458545]}"
4,"{'poverty': [0.022307564, 0.45165702700000004, 0.156383365], 'promise': [0.398592919, 0.44330972399999996, 0.064111955], 'congress': [0.222627655, 0.753237963, 0.179496378]}"
5,"{'maintainability': [0.12399181699999999, 0.146283299, 0.137599453], 'vadras': [0.236212507, 0.185394704, 0.24335019300000002], 'ed': [0.23637099600000003, 0.47672838, 0.6769054529999999], 'petition': [0.09744031, 0.059528474000000005, 0.09064899400000001], 'vadra': [0.025986735, 0.049598206, 0.117242195], 'probe': [0.619712174, 0.499114245, 0.785743833], 'plea': [0.009766226999999999, 0.081986748, 0.110229909]}"
6,"{'girl': [0.629280567, 0.061092839, 0.396691233], 'hindu': [0.139260948, 0.153980434, 0.35218209], 'pakistan': [0.181402311, 0.36522114299999997, 0.14174673], 'sindh': [0.285149693, 0.0, 0.23269318], 'province': [0.618065238, 0.060533468, 0.0], 'abduction': [0.09216559699999999, 0.18824479, 0.140390858]}"
7,"{'jaitley': [0.441866726, 0.197145328, 0.162444279]}"
8,"{'candidate': [0.262891382, 0.225493014, 0.6457137470000001], 'lok': [0.759729683, 0.6634998320000001, 0.503470659]}"
9,"{'ceasefire': [0.106274679, 0.039729428, 0.23519142], 'pakistan': [0.140875474, 0.275858045, 1.0], 'firing': [0.467484534, 0.12558966900000001, 0.0], 'violation': [0.554493785, 0.064269312, 0.03846271]}"
12,"{'party': [0.133059457, 0.0396608, 0.071326628]}"
13,"{'candidate': [0.15525803, 0.225493014, 0.6457137470000001]}"
14,"{'admiral': [0.345471352, 0.20449705399999998, 0.15598271800000002], 'karambir': [0.5428800579999999, 0.47303187799999996, 0.306285411], 'singh': [0.487934321, 0.376283318, 0.216864571], 'naval': [0.065797918, 0.037962362, 0.038704924], 'vice': [0.240627736, 0.21176359100000003, 0.054138254000000004], 'staff': [0.24311389, 0.102798969, 0.086048126], 'chief': [0.36081960799999996, 0.666433811, 0.351169944]}"
15,"{'lokpal': [0.9999978540000001, 0.132908955, 0.35749155299999996], 'ghose': [0.044255462, 0.273862481, 0.45786786100000004], 'justice': [0.996465921, 0.6001706720000001, 0.234260052], 'pinaki': [0.203896165, 0.064406916, 0.387129039], 'oath': [0.08573410699999999, 0.0, 0.249239445], 'chandra': [0.292056382, 0.054360144000000006, 0.246659145], 'kovind': [0.457443386, 0.0, 0.15899065099999998], 'court': [0.071107507, 0.065099999, 0.045835432]}"
16,"{'lokpal': [0.9999978540000001, 0.132908955, 0.35749155299999996], 'ghose': [0.044255462, 0.273862481, 0.45786786100000004], 'justice': [0.996465921, 0.6001706720000001, 0.234260052], 'pinaki': [0.203896165, 0.064406916, 0.387129039], 'oath': [0.08573410699999999, 0.0, 0.249239445], 'chandra': [0.292056382, 0.054360144000000006, 0.246659145], 'kovind': [0.457443386, 0.0, 0.15899065099999998], 'court': [0.071107507, 0.065099999, 0.045835432]}"
17,"{'party': [0.023501664, 0.0303139, 0.079565987], 'candidate': [0.15868178, 0.225493014, 0.19585377]}"
18,"{'list': [0.132904246, 0.123752214, 0.283338219], 'candidate': [0.19599783399999998, 0.225493014, 0.196814135], 'contest': [0.154329613, 0.53612107, 0.200621799], 'bjp': [0.144322336, 0.105741844, 0.209661469]}"
19,"{'ghose': [0.6972236629999999, 0.273862481, 0.45786786100000004], 'pinaki': [0.16697403800000002, 0.064406916, 0.387129039], 'lokpal': [0.99904567, 0.132908955, 0.35749155299999996], 'justice': [0.121653266, 0.6001706720000001, 0.234260052], 'oath': [0.103882581, 0.0, 0.249239445], 'chandra': [0.204819217, 0.054360144000000006, 0.246659145]}"
20,"{'list': [0.708989978, 0.123752214, 0.09976869099999999]}"
21,"{'terrorist': [0.585461557, 0.532707691, 0.121254578], 'shopian': [0.21686789399999998, 0.397881538, 0.374206305], 'kashmir': [0.21783655899999999, 0.10739395800000001, 0.094351724], 'jammu': [0.060851563, 0.015642291000000003, 0.022635713], 'encounter': [0.36283987799999995, 0.501523376, 0.057110161]}"
22,"{'pakistan': [0.044809151, 0.369073689, 0.25440812100000004], 'event': [0.5860788229999999, 0.435194165, 0.409792185], 'commission': [0.150437415, 0.689762235, 0.345498711], 'separatist': [0.145671293, 0.07719317099999999, 0.15689805199999998], 'india': [0.513053596, 0.39467567200000003, 0.342739284], 'day': [0.194667801, 0.092484571, 0.174642608], 'national': [0.280595064, 0.643576384, 0.419039786], 'hurriyat': [0.23697774100000002, 0.132305875, 0.266389489]}"
23,"{'banned': [0.240873158, 0.0, 0.031656604], 'yasin': [0.019899379, 0.055417873, 0.129385784], 'jammu': [0.18096558699999998, 0.071900874, 0.195733562], 'kashmir': [0.434601367, 0.244065568, 0.521050274], 'liberation': [0.43694043200000005, 0.0, 0.415304601], 'activity': [0.255091935, 0.203561813, 0.319173723], 'organisation': [0.014713114, 0.04390412900000001, 0.29226917], 'jklf': [0.08529228, 0.087912664, 0.16246751]}"
24,"{'pakistan': [0.0, 0.31327372800000003, 0.190266535]}"
25,"{'gambhir': [0.41805794799999996, 0.476606727, 0.31432473699999997], 'gautam': [0.039815426, 0.0, 0.103558309], 'join': [0.110352948, 0.35275504, 0.148897588], 'bjp': [0.095878936, 0.637072265, 0.48941519899999997], 'vision': [0.058583427, 0.0, 0.0], 'jaitley': [0.069788873, 0.09192714800000001, 0.165696084], 'arun': [0.8091677429999999, 0.24449127899999998, 0.268357456], 'former': [0.10877058699999999, 0.182537809, 0.9999998809999999]}"
26,"{'bjp': [0.322460443, 0.25815776, 0.33013922], 'candidate': [0.083428979, 0.085195504, 0.397695005], 'list': [0.070136465, 0.313005716, 0.350605428]}"
