,ID,dd_sentiment_np,ndtv_sentiment_np,tn_sentiment_np
0,0,"{'candidates': -0.5895626666666667, 'meet': 0.868938, 'central election committee': -0.29991666666666666, 'Minister Narendra Modi': -0.884344, 'list': -0.29478133333333334, 'parliamentary constituencies': -0.3711685, 'Odisha assembly constituency': -0.3711685}","{'Congress slogan': -0.5720998333333334, 'Akhilesh Yadav': -0.7935106666666667, 'minister Indira Gandhi': -0.16101150000000003, 'reaction': 0.0, 'Twitter': 0.0, 'rival Akhilesh Yadav': -0.7935106666666667, 'Mayawati': -0.714007, 'Congress': -0.5720998333333334, 'chief Rahul Gandhi': -0.1288092, 'team': 0.864898, 'Rs': -0.784545, 'Garibi Hatao': -0.4963905, 'bluff': -0.6205890000000001, 'opposition alliance': -0.87991, 'attacks': -0.939998, 'seats': -0.4246145}","{'national capital': -0.673042, 'dedicated leaders': -0.6453965, 'objections': 0.0, 'Jaibhan Singh Pawaiya': 0.0, 'general elections': -0.23378900000000002, 'Parliament': 0.0, 'news agency': -0.8699785, 'cricketer Gautam Gambhir': -0.31149, 'recommendations': -0.908753, 'central leadership': -0.88863, 'Delhi unit': -0.5717094285714285, 'workers': -0.4896515, 'PTI': -0.8699785, 'Delhi assembly elections': -0.520735, 'PTI sources': -0.8699785, 'priority': -0.979303, 'party': -0.7939173333333334, 'New Delhi unit': -0.6138398749999999, 'Bharatiya Janata Party': -0.7939173333333334, 'New Delhi': -0.591353857142857, 'celebrities': -0.8305025}"
1,1,"{'Sukma district': -0.878364, 'elite unit': 0.0, 'Chhattisgarh': -0.878364, 'Deputy Inspector General': 0.0, 'spot': 0.0, 'Anti-Naxal operations': 0.0, 'forest area': 0.0, 'security forces': -0.878364, 'place': 0.0, 'police': -0.439182, 'Bastar division': 0.0, 'phase': 0.0, 'group': 0.0, 'Bastar Lok Sabha': 0.0, 'phases': 0.0, 'Naxals': -0.439182}","{'Twitter': -0.715425, 'CoBRA unit': -0.1616625, 'bodies': 0.0, 'CRPF official': -0.07658074999999999, 'guerrilla tactics': 0.0, 'maoists': -0.323325, 'kilometre': 0.0}","{'kilometre': 0.0, 'bodies': 0.0, 'CRPF official': -0.16658133333333333, 'guerrilla tactics': 0.0, 'Maoists': -0.4436935, 'Jagargunda area': 0.12921433333333335}"
2,2,"{'candidates': -0.581644, 'phase': -0.657288, 'Parliamentary constituencies': -0.715049, 'nominations': -0.5584235, 'Monday evening': -0.547821, 'constituencies': -0.715049, 'scrutiny': -0.480689, 'polls': -0.646343, 'BJP': 0.0, 'seats': 0.0, 'place': -0.480689, 'union territories': -0.777526}","{'Pappu Singh': 0.0, 'Upendra Kushwaha': 0.0, 'MPs': 0.0, 'Bhagalpur': 0.0, 'Purnea': 0.0, 'date': 0.0, 'opposition Grand Alliance': 0.0, 'Bihar': 0.0, 'Congress candidates': 0.0, 'candidates': 0.0, 'Katihar seat': 0.0, 'polling': 0.0, 'opposition': 0.0, 'Mukesh Sahnis': 0.0, 'state': 0.0, 'Twitter': 0.0, 'Tariq Anwar': 0.0, 'Dr Mohammad Javed': 0.0, 'Dr Mohammad': 0.0, 'Mukesh Sahnis VIP': 0.0, 'Congress': 0.0, 'Lalu Yadav': 0.0, 'Prakash Narayan Yadav': 0.0, 'Purnea seats': 0.0, 'RJD': 0.0}","{'Abdullah': -0.3797124, 'Officer': -0.3551165, 'polling': -0.612326, 'Tankipora area': 0.0, 'voters': 0.0, 'NC leaders': -0.21095133333333335, 'nomination': -0.1582135, 'nomination papers': -0.1582135, 'filing nomination papers': -0.1582135, 'police': 0.0, 'guidelines': -0.710233, 'votes': 0.0, 'phase': -0.316427, 're-election': -0.632854, 'pomp': 0.0, 'constituency': 0.0, 'maximum number': -0.3551165, 'untoward incident': -0.710233, 'people': -0.710233, 'supporters': -0.710233, 'president Farooq Abdullah': -0.3797124}"
3,3,"{'reports': 0.0, 'AIIMS': 0.0, 'charge sheet': -0.713186, 'director': -0.713186, 'information': 0.573562, 'Matrix Holdings': -0.713186, 'bail': 0.0, 'development': 0.538197}","{'perusal': 0.0, 'AIIMS': 0.0, 'charge sheet': -0.763912, 'case': -0.284481, 'bail': 0.0, 'Twitter': -0.715425, 'approver': -0.1422405}","{'political leaders': 0.0, 'authorities': 0.0, 'launder money': 0.0, 'global structure': 0.0, 'money': 0.0, 'United Arab Emirates': 0.0, 'medical grounds': -0.571196, 'contract': 0.0, 'kickback payments': 0.0, 'lawyer Gautam Khaitan': -0.571196, 'bureaucrats': 0.0, 'middleman': -0.3131336666666667, 'statement': 0.0}"
4,4,"{'electoral promise': -0.785194, 'poverty alleviation': 0.751986, 'cong': -0.772757, 'NDA govt': -0.772757, 'people': 0.19561100000000003, 'politics': 0.751986, 'BJP': -0.785194, 'poverty': 0.751986, 'cr': -0.772757}","{'bank accounts': -0.27544799999999997, 'Rahul Gandhi Rahul': -0.07911800000000001, 'headliner': 0.0, 'crore families': -0.27544799999999997, 'poverty': -0.826344, 'cent': -0.826344, 'social security payments': 0.0, 'Nyuntam Aay Yojana': 0.380662, 'final assault': 0.0, 'cash handout': 0.0, 'recent party conclave': -0.27544799999999997, 'government': -0.4772905, 'scheme': 0.384618, 'minimum income guarantee': 0.388574, 'candidates': 0.0, 'PM Kisan plan': -0.954581, 'party': -0.27544799999999997, 'Twitter': 0.0, 'money': 0.0, 'political transactions': 0.0, 'NYAY': 0.0, 'Rahul Gandhi': -0.07911800000000001, 'accounts': -0.27544799999999997, 'bank account': -0.27544799999999997}","{'press conference': 0.729228, 'Indians': 0.0, 'Indira ji': 0.03851399999999999, 'income guarantee scheme': 0.28598633333333334, 'party': -0.4400031999999999, 'Rajiv Gandhi': 0.1938254, 'slogan': -0.582531, 'Indira': 0.03851399999999999, 'India': -0.451368, 'Jaitley': 0.635831, 'Rs': -0.280691, 'Gandhi': 0.1938254, 'Hatao’ slogan': -0.24961350000000002, 'economic reforms': 0.0, 'Indiraji party': -0.4400031999999999, 'crore Indians': -0.2369975, 'President Rahul Gandhi': 0.1938254, 'Indiraji': 0.0, 'minimum basic income': 0.21448975}"
5,5,"{'Mehta': -0.814982, 'objection': -0.825855}","{'Money Laundering Act': -0.26130366666666666, 'Twitter': -0.715425, 'Solicitor General Tushar': -0.437693, 'advocate Abhishek Manu': 0.0}","{'affidavit': 0.0, 'response': -0.90806, 'objection': -0.825855, 'Solicitor General Tushar': -0.825855, 'Money Laundering Act': -0.49135233333333334, 'advocate Abhishek Manu': -0.565997}"
6,6,"{'India': -0.505772, 'Indian High Commissioner': 0.827262, 'massive protests': 0.0, 'nervousness': -0.785014, 'Pak': 0.413631, 'data': 0.0, 'report': 0.0, 'Chaudhry': 0.827262, 'Ghotki district': 0.0}","{'Ms': -0.798977, 'official protection': -0.181052, 'police': -0.724208, 'Minorities Affairs': -0.14063175, 'cleric': 0.0, 'protection': -0.24140266666666665, 'Reena': 0.0, 'social media': 0.0, 'government': 0.0, 'Act': 0.0, 'wedding': 0.0, 'Islamabad High Court': 0.0, 'war': 0.0, 'girl': -0.31718850000000004, 'spat': 0.0, 'government draft': 0.0, 'underage girls': -0.31718850000000004, 'marriages': -0.187509, 'note': 0.0, 'group': 0.0, 'involvement': 0.0, 'Indian envoy': -0.3994885, 'provincial governments': 0.0, 'abduction': 0.0, 'video': 0.0, 'marriage': -0.187509, 'girls': -0.31718850000000004}","{'man': -0.847996, 'massive outrage': -0.667549, 'teenagers': 0.0, 'girls': -0.423998, 'Sushma Swaraj': 0.0, 'demonstrations': -0.667549, 'probe': 0.0, 'i-Insaf party': 0.0, 'place': 0.0, 'marriages': 0.0, 'marriage': 0.0, 'cleric': 0.0, 'matter': 0.0, 'Reena': 0.0, 'group': 0.271501, 'teenagers residence': 0.0, 'residence': 0.0, 'incident': 0.0, 'wedding': -0.847996, 'National Assembly': 0.0, 'effective measures': 0.543002, 'video': 0.0, 'report': 0.18100066666666667, 'PTI': 0.0}"
7,7,"{'current generation': -0.299653, 'major drawback': 0.0, 'major victories': 0.0, 'current generation dynast': -0.22473975, 'crowd': -0.898959, 'fresh dig': 0.699887, 'incentive': 0.0, 'charisma': -0.898959}","{'Balakot air': -0.8026655, 'media organisations': -0.488491, 'Rahul': 0.0, 'documents': 0.233185, 'forgeries': -0.46173949999999997, 'Caravan': -0.452438, 'Twitter': -0.715425, 'Sam Pitroda': -0.317568, 'polls': 0.0, 'allegations': -0.822318, 'photocopies': 0.0, 'international media reports': -0.488491, 'Congress': -0.462583, 'New Low': 0.233185, 'falsehood': -0.452438, 'poll': 0.0, 'government': -0.860614, 'Chief Rahul Gandhi': 0.0, 'Air Force': -0.8026655, 'Opposition': -0.452438, 'BS Yeddyurappa': 0.0}","{'investigation': -0.659171, 'Television': 0.0, 'conservative norms': 0.0, 'names': -0.652092, 'Shivakumar': 0.0, 'diary': -0.6538824999999999, 'social media': -0.181831, 'Lok Sabha elections': 0.0, 'PM Narendra Modi': -0.363662, 'BJP': -0.7036795, 'Raghavendra': -0.659171, 'norm': 0.0, 'president Rahul Gandhi': 0.03618900000000003, 'Yeddyurappa father': -0.29447533333333337, 'department officials': -0.7801065, 'Congress': -0.3374736, 'possession': -0.652092, 'rescue': 0.0, 'report': -0.7838285, 'Randeep Singh Surjewala': -0.0022079999999999878, 'Yeddyurappa': -0.29447533333333337, 'Income Tax department': -0.6412916666666666, 'issue': -0.24774849999999998, 'Karnataka Congress': -0.4284656666666667, 'stalwarts Lal Krishna': -0.363662, 'statement': 0.0, 'BJP leadership': -0.7036795, 'handwritten notes': -0.777713, 'Karnataka CM BS': -0.5685186666666667, 'information': 0.468808, 'leaders': -0.883426, 'father': 0.0, 'Karnataka': -0.5685186666666667, 'Direct Taxes': -0.573081, 'magazine report': -0.7838285, 'norms': 0.0, 'loose sheets': 0.0, 'spokesperson Randeep Singh': -0.0022079999999999878}"
8,8,"{'total': -0.800489, 'party': 0.4349415, 'Narendra Singh Tomar': 0.643529, 'Political temperatures': 0.0, 'Karnataka': 0.928884, 'Senior BJP Leader': -0.7548783333333334, 'names': -0.800489, 'Minister': 0.30157075, 'Minister Uma Bharti': 0.30157075, 'Union Minister': 0.30157075, 'BJP': -0.7548783333333334, 'desire': 0.0, 'parties': 0.4349415}","{'Upendra Kushwahas': 0.0, 'phase': 0.0, 'Bhagalpur': 0.0, 'opposition Grand Alliance': -0.275874, 'date': -0.396872, 'phases': 0.0, 'Bihar Congress spokesman': -0.2143382857142857, 'Bihar': -0.183916, 'RJD': 0.0, 'evening': -0.514959, 'opposition': -0.275874, 'Mukesh Sahnis': 0.0, 'state': 0.0, 'Congress kitty': -0.189724, 'Twitter': 0.0, 'place': 0.0, 'Congress': -0.189724, 'Prakash Narayan Yadav': 0.0, 'announcement': -0.396872, 'Lalu Prasad': 0.0, 'RJD nominees': 0.0, 'Mukesh Sahnis VIP': 0.0}","{'Puri': 0.0, 'absolute majority': 0.0, 'party': 0.06777199999999999, 'Prime Minister Modi': 0.7582682000000001, 'Andhra Pradesh': 0.596109, 'minister JP Nadda': 0.7582682000000001, 'president Amit Shah': 0.4049745, 'names': 0.8043785, 'Amit Shah': 0.4049745, 'BJP BJP': -0.02349533333333335, 'Bharatiya Janata Party': 0.06777199999999999, 'government': 0.0, 'Daman': 0.596109, 'list': 0.270468, 'Sambit Patra': -0.869294, 'National Democratic Alliance': -0.434647, 'BJP': -0.02349533333333335, 'decision': 0.0, 'Odisha': 0.596109}"
9,9,"{'Jammu': 0.0, 'firing': 0.0, 'place': 0.0}","{'restraint': 0.0, 'soldier injuries': -0.751113, 'ceasefire': -0.7732859999999999, 'adherence': 0.0, 'Twitter': -0.804598, 'ceasefire agreement': -0.7732859999999999, 'Hari Waker': -0.6113, 'Pulwama attack': -0.928752, 'India': -0.464376, 'Pakistani troops': -0.716989, 'soldier': -0.751113, 'soldier life': -0.751113, 'Rifleman Yash Paul': -0.809876}","{'Pakistani forces': -0.8678436666666668, 'ceasefire': -0.302658, 'civilian areas': -0.7597833333333334, 'unprovoked firing': -0.861482, 'Indian civilians': -0.8113245, 'civilians': -0.7597833333333334, 'Tensions': -0.979796, 'Hari Waker': 0.0, 'cross border': -0.423173}"
