dd_synsets,ndtv_synsets,scores
"['meeting', 'ninth', 'constituency', 'party', 'election', 'list', 'constituency', 'ninth', 'election', 'delhi', 'phase', 'meet', 'ninth', 'election', 'ninth', 'campaigner', 'ninth', 'ninth', 'list', 'constituency', 'ninth', 'list', 'campaigner', 'election', 'capital', 'ninth', 'release', 'ninth', 'campaigner', 'ninth', 'election', 'ninth', 'ninth', 'ninth', 'ninth', 'campaigner', 'phase', 'list', 'constituency', 'list', 'campaigner', 'campaigner', 'campaigner', 'ninth', 'list', 'list', 'campaigner', 'constituency', 'list', 'ninth', 'list', 'list', 'ninth', 'leadership', 'ninth', 'campaigner']","['congress', 'bluff', 'alliance', 'party', 'scheme', 'true', 'poverty', 'announce', 'resistance', 'field', 'calendar_month', 'contest', 'name', 'plan', 'poll', 'cardsharp', 'renege', 'reciprocate', 'increasingly', 'generosity', 'tauten', 'searching', 'opposition', 'impression', 'seating', 'underscore', 'necktie', 'chase_away', 'bird', 'betray', 'election', 'team', 'govern', 'escalate', 'gain', 'breath', 'week', 'guarantee', 'sphere', 'exclusive', 'chemical_reaction', 'laborer', 'economist', 'back', 'advice', 'top', 'head', 'difference', 'former', 'insist', 'anywhere', 'aside', 'phase', 'leadership', 'remove', 'rival']","[0.2, 0.25, 0.1, 1.0, 0.09, 0.36, 0.1, 0.14, 0.17, 0.14, 0.33, 0.33, 0.2, 0.11, 0.2, 0.12, 0.12, 0.25, 0.2, 0.09, 0.2, 0.21, 0.17, 0.11, 0.14, 0.08, 0.12, 0.25, 0.11, 0.11, 1.0, 0.14, 0.25, 0.2, 0.25, 0.1, 0.33, 0.14, 0.1, 0.43, 0.1, 0.12, 0.14, 0.11, 0.17, 0.05, 0.25, 0.12, 0.37, 0.33, 0.88, 0.08, 0.14, 1.0, 0.33, 0.17]"
"['commando', 'unit_of_measurement', 'meet', 'commando', 'battalion', 'rifle', 'operations', 'meet', 'area', 'kill', 'commando', 'meet', 'meet', 'position', 'meet', 'area', 'commando', 'meet', 'operations', 'rifle', 'take', 'meet', 'operations', 'meet', 'police', 'recover', 'action', 'station', 'get_down', 'meet', 'action', 'force', 'phase', 'details', 'add', 'meet', 'district', 'meet', 'police', 'election', 'election', 'meet', 'group', 'state', 'position', 'action', 'meet', 'part', 'meet', 'general', 'action', 'details', 'meet', 'meet']","['maoist', 'unit_of_measurement', 'afforest', 'commando', 'battalion', 'rifle', 'brush', 'deep', 'area', 'kill', 'guerrilla', 'specialize', 'adept', 'tactics', 'comb', 'jungle', 'commando', 'uniform', 'gunfight', 'gun', 'continue', 'reserve', 'battle', 'interrupt', 'mission', 'recover', 'search', 'body', 'get_down', 'early', 'action', 'force', 'morning', 'special', 'add', 'official', 'district', 'cardinal', 'police', 'election', 'election', 'update', 'today', 'state', 'agenda', 'chirrup', 'parliamentary', 'seating', 'up-to-the-minute', 'general', 'get', 'news', 'live', 'indian']","[0.14, 1.0, 0.17, 1.0, 1.0, 1.0, 0.17, 0.58, 1.0, 1.0, 0.14, 0.25, 0.48, 0.11, 0.2, 0.25, 1.0, 0.91, 0.17, 0.33, 0.33, 0.14, 0.2, 0.2, 0.2, 1.0, 0.25, 0.17, 1.0, 0.03, 1.0, 1.0, 0.33, 0.2, 1.0, 0.24, 1.0, 0.82, 1.0, 1.0, 1.0, 0.2, 0.17, 1.0, 0.12, 0.17, 0.2, 0.2, 0.94, 1.0, 0.12, 0.33, 0.87, 0.31]"
"['campaigner', 'congress', 'bihar', 'phase', 'march', 'deadline', 'second', 'nomination', 'file', 'campaigner', 'date', 'take', 'district', 'spread', 'spread', 'spread', 'spread', 'district', 'district', 'polls', 'spread', 'phase', 'campaigner', 'nomination', 'campaigning', 'last', 'seating', 'campaigner', 'spread', 'phase', 'spread', 'spread', 'constituency', 'campaigner', 'phase', 'spread', 'union', 'campaigner', 'phase', 'maharashtra', 'deadline', 'phase', 'deadline', 'seat', 'campaigner', 'deadline', 'march', 'campaigner', 'travel']","['campaigner', 'congress', 'bihar', 'phase', 'march', 'formula', 'second', 'nomination', 'file', 'mohammed', 'date', 'announce', 'mononuclear_phagocyte_system', 'sit', 'poll', 'join', 'name', 'ham', 'random-access_memory', 'polls', 'field', 'ninth', 'jay', 'resistance', 'campaigning', 'last', 'seating', 'very_important_person', 'let_go_of', 'former', 'state', 'field', 'constituency', 'spouse', 'respectively', 'contend', 'party', 'spokesman', 'representational', 'field', 'one-half', 'expansive', 'unit_of_measurement', 'seat', 'campaigner', 'list', 'april', 'reporter', 'travel']","[1.0, 1.0, 1.0, 1.0, 1.0, 0.11, 1.0, 1.0, 1.0, 0.14, 1.0, 0.17, 0.1, 0.33, 0.2, 0.33, 0.2, 0.08, 0.1, 1.0, 0.2, 0.94, 0.12, 0.17, 1.0, 1.0, 1.0, 0.14, 0.33, 0.59, 0.25, 0.2, 1.0, 0.17, 0.37, 0.33, 0.33, 0.14, 0.54, 0.25, 0.09, 0.42, 0.2, 1.0, 1.0, 0.11, 0.33, 0.17, 1.0]"
"['approver', 'condition', 'court', 'let', 'case', 'let', 'allow', 'bail', 'judge', 'medical', 'condition', 'earlier', 'matrix', 'retention', 'information', 'expostulation', 'useful', 'allege', 'particular', 'information', 'turn', 'sheet', 'firm', 'enforcement', 'submit', 'wash', 'file', 'directorate', 'expostulation', 'enforcement', 'let', 'director', 'let', 'name', 'report', 'charge', 'submit', 'money', 'file', 'monday', 'accuse', 'agency', 'crore', 'roentgen', 'state', 'enforcement', 'enforcement', 'sheet', 'information', 'evidence', 'case', 'approver', 'condition', 'approver', 'approver', 'forgiveness', 'information', 'approver', 'approver']","['approver', 'bend', 'court', 'let', 'case', 'anchor', 'allow', 'bail', 'judge', 'medical', 'mister', 'earlier', 'matrix', 'retention', 'transcript', 'expostulation', 'useful', 'allege', 'particular', 'statement', 'turn', 'sheet', 'firm', 'proceeding', 'submit', 'wash', 'record', 'directorate', 'scam', 'enforcement', 'hear', 'director', 'seek', 'name', 'report', 'charge', 'send', 'money', 'file', 'monday', 'accuse', 'agency', 'crore', 'roentgen', 'state', 'election', 'election', 'delhi', 'update', 'agenda', 'chirrup', 'parliamentary', 'seating', 'up-to-the-minute', 'general', 'get', 'news', 'live', 'indian']","[1.0, 0.14, 1.0, 1.0, 1.0, 0.17, 1.0, 1.0, 1.0, 1.0, 0.09, 1.0, 1.0, 1.0, 0.12, 1.0, 1.0, 1.0, 1.0, 0.33, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 0.33, 1.0, 0.1, 1.0, 0.25, 1.0, 0.25, 1.0, 1.0, 1.0, 0.33, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 0.2, 0.1, 0.33, 0.14, 0.25, 0.15, 0.12, 0.87, 0.19, 0.1, 0.5, 0.5, 0.53]"
"['people', 'poverty', 'farmer', 'roentgen', 'promise', 'politics', 'roentgen', 'party', 'roentgen', 'give', 'bluff', 'crore', 'promise', 'state', 'promise', 'give', 'roentgen', 'give', 'promise', 'state', 'roentgen', 'give', 'people', 'roentgen', 'farmer', 'roentgen', 'state', 'politics', 'history', 'bluff', 'name', 'year', 'year', 'year', 'promise', 'give', 'congress', 'roentgen', 'politics', 'give', 'roentgen', 'give', 'roentgen', 'roentgen', 'give', 'remove', 'farmer', 'year', 'give', 'give', 'promise', 'roentgen', 'promise', 'people', 'give', 'give', 'farmer', 'roentgen', 'give', 'give', 'release', 'crore', 'give', 'give', 'promise', 'roentgen']","['scheme', 'poverty', 'gandhi', 'hapless', 'guarantee', 'income', 'roentgen', 'family', 'minimal', 'analyze', 'bank', 'crore', 'lift', 'promise', 'assault', 'transfer', 'directly', 'announce', 'history', 'propose', 'concluding', 'trash', 'ball', 'loosely', 'headliner', 'fiscally', 'state', 'subsidy', 'fraudulence', 'bluff', 'acronym', 'money', 'calendar_month', 'year', 'calculation', 'attract', 'conclave', 'cosmopolitan', 'payment', 'gain', 'dynamic', 'guarantee', 'historically', 'fringy', 'explain', 'remove', 'economist', 'calendar_month', 'surprise', 'fight', 'manifesto', 'flat', 'minutes', 'concept', 'ask', 'implement', 'round', 'formally', 'describe', 'get_down', 'demonetization', 'million', 'miss', 'attack', 'promise', 'powerful']","[0.1, 1.0, 0.14, 0.55, 0.25, 0.11, 1.0, 0.25, 0.57, 0.33, 0.14, 1.0, 0.17, 0.33, 0.14, 0.2, 0.37, 0.14, 0.12, 0.33, 0.48, 0.2, 0.2, 0.2, 0.17, 0.64, 1.0, 0.1, 0.11, 1.0, 0.2, 0.12, 0.33, 1.0, 0.17, 0.2, 0.17, 0.22, 0.12, 0.25, 0.52, 0.33, 0.2, 0.46, 0.14, 1.0, 0.17, 0.33, 0.25, 0.2, 0.17, 0.04, 0.11, 0.12, 0.17, 0.25, 0.09, 0.06, 0.09, 0.33, 0.25, 0.33, 0.33, 0.25, 1.0, 0.84]"
"['relief', 'willful', 'money', 'list', 'probe', 'court', 'request', 'supplication', 'request', 'willful', 'seek', 'suppression', 'maintainable', 'matter', 'week', 'willful', 'willful', 'repress', 'expostulation', 'affidavit', 'solicitor', 'ask', 'high', 'repress', 'agency', 'agency', 'willful', 'look', 'businessman', 'solicitor', 'case', 'request', 'state', 'justice', 'expostulation', 'willful', 'seek', 'suppression', 'allow', 'separate', 'expostulation', 'directorate', 'enforcement', 'raise', 'willful', 'similar', 'bench', 'week', 'repress', 'state', 'answer', 'seek', 'relief', 'procedure', 'response', 'repress', 'close', 'law', 'affidavit', 'monday', 'repress', 'gandhi', 'state', 'repress', 'ask', 'file', 'congress']","['erectile_dysfunction', 'wash', 'money', 'list', 'probe', 'court', 'property', 'supplication', 'request', 'hear', 'seek', 'suppression', 'maintainable', 'matter', 'pound', 'willful', 'associate', 'square', 'expostulation', 'affidavit', 'solicitor', 'mistreat', 'high', 'unconstitutional', 'agency', 'agency', 'own', 'look', 'businessman', 'adjutant', 'case', 'request', 'answer', 'justice', 'purchase', 'represent', 'seek', 'commissariat', 'allow', 'separate', 'prevention', 'directorate', 'enforcement', 'raise', 'question', 'similar', 'bench', 'week', 'deserving', 'declare', 'allegation', 'seek', 'relief', 'procedure', 'response', 'allegedly', 'close', 'law', 'act', 'monday', 'assorted', 'gandhi', 'state', 'senior', 'ask', 'file', 'congress']","[0.1, 0.2, 1.0, 1.0, 1.0, 1.0, 0.14, 1.0, 1.0, 0.25, 1.0, 1.0, 1.0, 1.0, 0.11, 1.0, 0.25, 0.77, 1.0, 1.0, 1.0, 0.2, 1.0, 0.95, 1.0, 1.0, 0.33, 1.0, 1.0, 0.11, 1.0, 1.0, 0.5, 1.0, 0.17, 0.25, 1.0, 0.11, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 0.08, 1.0, 1.0, 1.0, 0.43, 0.5, 0.17, 1.0, 1.0, 1.0, 1.0, 0.18, 1.0, 1.0, 0.33, 1.0, 0.82, 1.0, 1.0, 0.31, 1.0, 1.0, 1.0]"
"['girl', 'girl', 'girl', 'girl', 'kidnap', 'jitteriness', 'abduction', 'conversion', 'kidnap', 'pakistan', 'action', 'girl', 'minority', 'state', 'jitteriness', 'jitteriness', 'information', 'girl', 'report', 'incident', 'girl', 'curate', 'incident', 'minority', 'girl', 'tweet', 'community', 'incident', 'girl', 'girl', 'ask', 'allegedly', 'incident', 'protest', 'girl', 'information', 'forcible', 'girl', 'information', 'stern', 'personal_business', 'khan', 'girl', 'minority', 'issue', 'allege', 'girl', 'incident', 'incident', 'khan', 'incident', 'khan', 'girl', 'girl', 'minority', 'report', 'district', 'incident', 'incident', 'khan', 'incident', 'incident', 'war', 'incident', 'information']","['girl', 'minor', 'hindu', 'girl', 'kidnap', 'marriage', 'abduction', 'conversion', 'kidnap', 'pakistan', 'protection', 'viral', 'minority', 'state', 'indignation', 'marriage', 'register', 'countrywide', 'act', 'coerce', 'fresh', 'curate', 'order', 'government', 'clear', 'case', 'community', 'solemnize', 'forceful', 'soon', 'report', 'allegedly', 'travel', 'bicker', 'purportedly', 'handout', 'forcible', 'strictly', 'information', 'bow', 'personal_business', 'adolescent', 'provincial', 'islam', 'estimate', 'allege', 'however', 'harmonize', 'marry', 'envoy', 'widen', 'suspect', 'influential', 'official', 'minority', 'draft', 'district', 'implement', 'settle', 'hindu', 'ban', 'establish', 'engagement', 'belong', 'hindi']","[1.0, 0.45, 0.22, 1.0, 1.0, 0.11, 1.0, 1.0, 1.0, 1.0, 0.25, 0.55, 1.0, 1.0, 0.2, 0.11, 0.12, 0.29, 0.25, 0.2, 0.59, 1.0, 0.1, 0.2, 0.9, 0.2, 1.0, 0.25, 0.03, 0.35, 0.25, 1.0, 0.33, 0.14, 0.73, 0.2, 1.0, 0.52, 1.0, 0.2, 1.0, 0.2, 0.95, 0.2, 0.11, 1.0, 0.15, 0.2, 0.2, 0.12, 0.17, 0.25, 0.55, 0.56, 1.0, 0.2, 1.0, 0.25, 0.2, 0.17, 0.07, 0.25, 0.25, 0.25, 0.1]"
"['mention', 'dynast', 'current', 'current', 'dynast', 'charisma', 'congress', 'current', 'coevals', 'dynast', 'current', 'coevals', 'dynast', 'dynast', 'dynast', 'current', 'dynast', 'mention', 'take', 'party', 'dynast', 'current', 'dynast', 'hit', 'current', 'coevals', 'post', 'victory', 'charisma', 'dynast', 'current', 'current', 'coevals', 'dynast', 'current', 'hit', 'victory', 'current', 'take', 'current', 'blame', 'mention', 'dynast', 'current', 'take', 'coevals', 'current', 'incentive', 'write', 'current', 'mention', 'current', 'party', 'dynast', 'dynast', 'current', 'coevals', 'dynast', 'current', 'curate', 'coevals', 'incentive', 'current', 'dynast', 'current', 'mention', 'current', 'coevals', 'family', 'dynast', 'dynast', 'dynast', 'finance', 'today']","['falsehood', 'counterfeit', 'photocopy', 'caravan', 'wise', 'influence', 'congress', 'manufacture', 'web_log', 'counterfeit', 'forge', 'bachelor_of_science', 'politician', 'medium', 'voter', 'question', 'sought', 'falsehood', 'back', 'party', 'surface-to-air_missile', 'achieve', 'air', 'action', 'purport', 'friday', 'polls', 'attack', 'odds', 'brass', 'entitle', 'detect', 'bribe', 'aggressive', 'manufacture', 'resistance', 'strike', 'pass', 'stress', 'mention', 'accuse', 'remark', 'daily', 'submit', 'confront', 'document', 'look', 'fact', 'write', 'make', 'claim', 'question', 'administration', 'low', 'ready', 'necessitate', 'footing', 'besides', 'supply', 'curate', 'tax', 'poll', 'pass', 'never', 'pay', 'allegation', 'establish', 'report', 'department', 'head', 'terrorist', 'not', 'finance', 'panic']","[0.25, 0.08, 0.2, 0.25, 0.0, 0.25, 1.0, 0.17, 0.11, 0.08, 0.14, 0.09, 0.2, 0.11, 0.17, 0.08, 0.61, 0.25, 0.12, 1.0, 0.07, 0.25, 0.11, 0.25, 0.2, 0.09, 0.33, 0.12, 0.14, 0.09, 0.17, 0.2, 0.09, 0.75, 0.17, 0.2, 0.1, 0.25, 0.1, 0.17, 0.33, 0.5, 0.48, 0.17, 0.25, 0.12, 0.25, 0.14, 1.0, 0.33, 0.17, 0.08, 0.2, 0.83, 0.62, 0.33, 0.14, 0.82, 0.2, 1.0, 0.1, 0.09, 0.25, 0.63, 0.2, 0.14, 0.33, 0.11, 0.2, 0.2, 0.2, 0.95, 1.0, 0.11]"
"['campaigner', 'temperature', 'union', 'desire', 'desire', 'continue', 'campaigner', 'temperature', 'appoint', 'north', 'campaigner', 'leader', 'campaigner', 'leader', 'release', 'field', 'leader', 'election', 'campaigner', 'leader', 'union', 'campaigner', 'campaigner', 'election', 'desire', 'contest', 'campaigner', 'list', 'state', 'field', 'temperature', 'campaigner', 'temperature', 'leader', 'sit', 'election', 'leader', 'list', 'election', 'temperature', 'rise', 'campaigner', 'temperature', 'temperature', 'list', 'desire', 'temperature', 'temperature', 'desire', 'rise', 'desire', 'temperature', 'campaigner', 'election', 'sunday', 'temperature']","['campaigner', 'phase', 'congress', 'flush', 'poll', 'announce', 'second', 'seating', 'phase', 'field', 'late', 'reporter', 'likely', 'ham', 'random-access_memory', 'field', 'jay', 'resistance', 'campaigner', 'very_important_person', 'committee', 'alias', 'probably', 'nomination', 'meet', 'contest', 'held', 'filing', 'state', 'field', 'centimeter', 'respectively', 'date', 'mononuclear_phagocyte_system', 'sit', 'election', 'spokesman', 'announcement', 'contest', 'one-half', 'travel', 'expansive', 'unit_of_measurement', 'mister', 'list', 'name', 'april', 'alliance', 'party', 'travel', 'put', 'imperativeness', 'present', 'election', 'sunday', 'march']","[1.0, 0.25, 0.14, 0.2, 0.2, 0.17, 0.92, 0.12, 0.2, 0.25, 0.85, 0.25, 0.76, 0.09, 0.1, 1.0, 0.17, 0.17, 1.0, 0.2, 0.2, 0.44, 0.88, 0.11, 0.33, 1.0, 0.79, 0.17, 1.0, 1.0, 0.12, 0.73, 0.17, 0.11, 1.0, 1.0, 0.2, 0.17, 0.17, 0.09, 0.5, 0.28, 0.2, 0.09, 1.0, 0.2, 0.17, 0.12, 0.2, 0.5, 0.25, 0.1, 0.41, 1.0, 1.0, 0.17]"
"['district', 'martyr', 'misdemeanor', 'violate', 'martyr', 'misdemeanor', 'open_fire', 'line', 'martyr', 'martyr', 'martyr', 'line', 'control', 'line', 'jawan', 'misdemeanor', 'misdemeanor', 'violate', 'jawan', 'line', 'misdemeanor', 'take', 'line', 'jawan', 'violate', 'martyr', 'take', 'take', 'jawan', 'control', 'jawan', 'control', 'take', 'take', 'martyr', 'line', 'district', 'misdemeanor', 'district', 'violate', 'martyr', 'violate', 'line', 'martyr', 'martyr', 'line', 'district', 'line', 'district', 'violate', 'control', 'control', 'control', 'line', 'line', 'district', 'district', 'violate', 'topographic_point', 'violate', 'line', 'district', 'control', 'area']","['pakistan', 'critically', 'misdemeanor', 'violate', 'alone', 'misdemeanor', 'open_fire', 'military_personnel', 'along', 'kill', 'pakistani', 'week', 'sector', 'times', 'waker', 'attachment', 'jet', 'injure', 'rifleman', 'army', 'restraint', 'yield', 'treaty', 'paul', 'blast', 'heavily', 'treat', 'repeat', 'jawan', 'today', 'resident', 'injury', 'flag', 'continue', 'continued', 'agreement', 'camp', 'strike', 'side', 'witness', 'first', 'name', 'meeting', 'high', 'late', 'input_signal', 'response', 'line', 'boundary_line', 'lose', 'panic', 'control', 'life', 'night', 'force', 'air', 'till', 'die', 'beginning', 'attack', 'week', 'kashmir', 'number', 'area']","[0.2, 0.63, 1.0, 1.0, 0.41, 1.0, 1.0, 0.12, 0.56, 0.5, 0.14, 0.11, 0.12, 0.11, 0.11, 0.12, 0.08, 0.17, 0.11, 0.11, 0.14, 0.2, 0.09, 0.11, 0.17, 0.34, 0.25, 0.14, 1.0, 0.14, 0.2, 0.1, 0.17, 0.33, 0.48, 0.11, 0.09, 0.08, 0.2, 0.25, 0.63, 0.2, 0.14, 0.65, 0.27, 0.12, 0.11, 1.0, 0.14, 0.33, 0.11, 1.0, 0.14, 0.11, 0.14, 0.11, 0.09, 0.2, 0.33, 0.25, 0.11, 0.25, 0.12, 1.0]"
