ID_1,ndtv_dd_wordnet
0,"{'congress': ['meeting', 0.2], 'insist': ['ninth', 0.33], 'difference': ['constituency', 0.12], 'party': ['party', 1.0], 'election': ['election', 1.0], 'anywhere': ['list', 0.88], 'field': ['delhi', 0.14], 'calendar_month': ['phase', 0.33], 'contest': ['meet', 0.33], 'head': ['campaigner', 0.25], 'seating': ['capital', 0.14], 'necktie': ['release', 0.12], 'leadership': ['leadership', 1.0]}"
1,"{'commando': ['commando', 1.0], 'unit_of_measurement': ['unit_of_measurement', 1.0], 'up-to-the-minute': ['meet', 0.94], 'battalion': ['battalion', 1.0], 'rifle': ['rifle', 1.0], 'battle': ['operations', 0.2], 'area': ['area', 1.0], 'kill': ['kill', 1.0], 'agenda': ['position', 0.12], 'continue': ['take', 0.33], 'police': ['police', 1.0], 'recover': ['recover', 1.0], 'action': ['action', 1.0], 'body': ['station', 0.17], 'get_down': ['get_down', 1.0], 'force': ['force', 1.0], 'morning': ['phase', 0.33], 'news': ['details', 0.33], 'add': ['add', 1.0], 'district': ['district', 1.0], 'election': ['election', 1.0], 'today': ['group', 0.17], 'state': ['state', 1.0], 'seating': ['part', 0.2], 'general': ['general', 1.0]}"
2,"{'campaigner': ['campaigner', 1.0], 'congress': ['congress', 1.0], 'bihar': ['bihar', 1.0], 'phase': ['phase', 1.0], 'march': ['march', 1.0], 'unit_of_measurement': ['deadline', 0.2], 'second': ['second', 1.0], 'nomination': ['nomination', 1.0], 'file': ['file', 1.0], 'date': ['date', 1.0], 'announce': ['take', 0.17], 'mononuclear_phagocyte_system': ['district', 0.1], 'sit': ['spread', 0.33], 'polls': ['polls', 1.0], 'campaigning': ['campaigning', 1.0], 'last': ['last', 1.0], 'seating': ['seating', 1.0], 'constituency': ['constituency', 1.0], 'party': ['union', 0.33], 'field': ['maharashtra', 0.25], 'seat': ['seat', 1.0], 'travel': ['travel', 1.0]}"
3,"{'approver': ['approver', 1.0], 'bend': ['condition', 0.14], 'court': ['court', 1.0], 'let': ['let', 1.0], 'case': ['case', 1.0], 'allow': ['allow', 1.0], 'bail': ['bail', 1.0], 'judge': ['judge', 1.0], 'medical': ['medical', 1.0], 'earlier': ['earlier', 1.0], 'matrix': ['matrix', 1.0], 'retention': ['retention', 1.0], 'news': ['information', 0.5], 'expostulation': ['expostulation', 1.0], 'useful': ['useful', 1.0], 'allege': ['allege', 1.0], 'particular': ['particular', 1.0], 'turn': ['turn', 1.0], 'sheet': ['sheet', 1.0], 'firm': ['firm', 1.0], 'enforcement': ['enforcement', 1.0], 'submit': ['submit', 1.0], 'wash': ['wash', 1.0], 'file': ['file', 1.0], 'directorate': ['directorate', 1.0], 'director': ['director', 1.0], 'name': ['name', 1.0], 'report': ['report', 1.0], 'charge': ['charge', 1.0], 'money': ['money', 1.0], 'monday': ['monday', 1.0], 'accuse': ['accuse', 1.0], 'agency': ['agency', 1.0], 'crore': ['crore', 1.0], 'roentgen': ['roentgen', 1.0], 'state': ['state', 1.0], 'agenda': ['evidence', 0.14], 'get': ['forgiveness', 0.1]}"
4,"{'ball': ['people', 0.2], 'poverty': ['poverty', 1.0], 'headliner': ['farmer', 0.17], 'roentgen': ['roentgen', 1.0], 'promise': ['promise', 1.0], 'payment': ['politics', 0.12], 'family': ['party', 0.25], 'analyze': ['give', 0.33], 'bluff': ['bluff', 1.0], 'crore': ['crore', 1.0], 'state': ['state', 1.0], 'fraudulence': ['history', 0.11], 'acronym': ['name', 0.2], 'year': ['year', 1.0], 'conclave': ['congress', 0.17], 'remove': ['remove', 1.0], 'demonetization': ['release', 0.25]}"
5,"{'relief': ['relief', 1.0], 'willful': ['willful', 1.0], 'money': ['money', 1.0], 'list': ['list', 1.0], 'probe': ['probe', 1.0], 'court': ['court', 1.0], 'request': ['request', 1.0], 'supplication': ['supplication', 1.0], 'seek': ['seek', 1.0], 'suppression': ['suppression', 1.0], 'maintainable': ['maintainable', 1.0], 'matter': ['matter', 1.0], 'week': ['week', 1.0], 'unconstitutional': ['repress', 0.95], 'expostulation': ['expostulation', 1.0], 'affidavit': ['affidavit', 1.0], 'solicitor': ['solicitor', 1.0], 'ask': ['ask', 1.0], 'high': ['high', 1.0], 'agency': ['agency', 1.0], 'look': ['look', 1.0], 'businessman': ['businessman', 1.0], 'case': ['case', 1.0], 'state': ['state', 1.0], 'justice': ['justice', 1.0], 'allow': ['allow', 1.0], 'separate': ['separate', 1.0], 'directorate': ['directorate', 1.0], 'enforcement': ['enforcement', 1.0], 'raise': ['raise', 1.0], 'similar': ['similar', 1.0], 'bench': ['bench', 1.0], 'allegation': ['answer', 0.17], 'procedure': ['procedure', 1.0], 'response': ['response', 1.0], 'close': ['close', 1.0], 'law': ['law', 1.0], 'monday': ['monday', 1.0], 'gandhi': ['gandhi', 1.0], 'file': ['file', 1.0], 'congress': ['congress', 1.0]}"
6,"{'girl': ['girl', 1.0], 'kidnap': ['kidnap', 1.0], 'indignation': ['jitteriness', 0.2], 'abduction': ['abduction', 1.0], 'conversion': ['conversion', 1.0], 'pakistan': ['pakistan', 1.0], 'protection': ['action', 0.25], 'minority': ['minority', 1.0], 'state': ['state', 1.0], 'information': ['information', 1.0], 'act': ['report', 0.25], 'travel': ['incident', 0.33], 'curate': ['curate', 1.0], 'case': ['tweet', 0.2], 'community': ['community', 1.0], 'report': ['ask', 0.25], 'allegedly': ['allegedly', 1.0], 'bicker': ['protest', 0.14], 'forcible': ['forcible', 1.0], 'bow': ['stern', 0.2], 'personal_business': ['personal_business', 1.0], 'suspect': ['khan', 0.25], 'estimate': ['issue', 0.11], 'allege': ['allege', 1.0], 'district': ['district', 1.0], 'engagement': ['war', 0.25]}"
7,"{'remark': ['mention', 0.5], 'not': ['dynast', 0.95], 'make': ['current', 0.33], 'influence': ['charisma', 0.25], 'congress': ['congress', 1.0], 'footing': ['coevals', 0.14], 'confront': ['take', 0.25], 'party': ['party', 1.0], 'action': ['hit', 0.25], 'polls': ['post', 0.33], 'attack': ['victory', 0.12], 'accuse': ['blame', 0.33], 'fact': ['incentive', 0.14], 'write': ['write', 1.0], 'curate': ['curate', 1.0], 'department': ['family', 0.2], 'finance': ['finance', 1.0], 'panic': ['today', 0.11]}"
8,"{'campaigner': ['campaigner', 1.0], 'phase': ['appoint', 0.2], 'committee': ['union', 0.2], 'meet': ['desire', 0.33], 'announce': ['continue', 0.17], 'field': ['field', 1.0], 'reporter': ['leader', 0.25], 'random-access_memory': ['release', 0.1], 'election': ['election', 1.0], 'contest': ['contest', 1.0], 'list': ['list', 1.0], 'state': ['state', 1.0], 'sit': ['sit', 1.0], 'travel': ['rise', 0.5], 'sunday': ['sunday', 1.0]}"
9,"{'kashmir': ['district', 0.25], 'high': ['martyr', 0.65], 'misdemeanor': ['misdemeanor', 1.0], 'violate': ['violate', 1.0], 'open_fire': ['open_fire', 1.0], 'line': ['line', 1.0], 'control': ['control', 1.0], 'jawan': ['jawan', 1.0], 'continue': ['take', 0.33], 'beginning': ['topographic_point', 0.33], 'area': ['area', 1.0]}"
10,"{'attack': ['attack', 1.0], 'terrorist': ['intellectual', 0.25], 'congress': ['congress', 1.0], 'deterrent': ['hindrance', 0.9], 'royal': ['building', 0.14], 'force': ['force', 1.0], 'note': ['knock', 0.33], 'time': ['war', 0.14], 'take': ['take', 1.0], 'keep': ['previous', 0.33], 'arm': ['arm', 1.0], 'language': ['defense_mechanism', 0.14], 'panic': ['panic', 1.0], 'multiple_sclerosis': ['independence', 0.12], 'union': ['union', 1.0], 'target': ['center', 0.17], 'camp': ['populate', 0.5]}"
11,"{'devi': ['devi', 1.0], 'join': ['get_down', 0.33], 'representational': ['political_campaign', 0.99], 'unit_of_measurement': ['centimeter', 0.25], 'beginning': ['parts', 0.14], 'expel': ['transport', 0.33], 'agreement': ['poll', 0.17], 'day': ['gathering', 0.14], 'resistance': ['resistance', 1.0], 'party': ['party', 1.0], 'announcement': ['bow', 0.14], 'presence': ['panic', 0.14], 'member': ['leader', 0.2], 'head': ['head', 1.0], 'election': ['election', 1.0], 'senior': ['senior', 1.0], 'leadership': ['leadership', 1.0], 'state': ['state', 1.0], 'president': ['president', 1.0], 'besides': ['besides', 1.0], 'curate': ['curate', 1.0]}"
12,"{'seat': ['seat', 1.0], 'party': ['party', 1.0], 'campaigner': ['campaigner', 1.0], 'contest': ['contest', 1.0], 'kashmir': ['north', 0.33], 'decide': ['electoral', 0.33], 'union': ['union', 1.0], 'take': ['continue', 0.33], 'state': ['state', 1.0], 'leader': ['leader', 1.0], 'election': ['election', 1.0], 'polls': ['polls', 1.0], 'come': ['come', 1.0], 'curate': ['curate', 1.0], 'news': ['list', 0.25]}"
13,"{'campaigner': ['campaigner', 1.0], 'sunday': ['saturday', 0.2], 'committee': ['party', 0.2], 'flush': ['flush', 1.0], 'meet': ['independent', 0.33], 'announce': ['brief', 0.25], 'second': ['seat', 0.9], 'contest': ['contest', 1.0], 'phase': ['appoint', 0.2], 'reporter': ['leader', 0.25], 'random-access_memory': ['medium', 0.14], 'field': ['field', 1.0], 'list': ['list', 1.0], 'state': ['state', 1.0], 'sit': ['sit', 1.0], 'election': ['election', 1.0], 'alliance': ['desire', 0.17]}"
